entry,exit,direction,pnl,r,reason,tag
2023-12-01 15:10:00+00:00,2023-12-01 20:55:00+00:00,1,231.3068953364964,1.9495461262402294,time,NY ORB
2023-12-04 14:55:00+00:00,2023-12-04 15:45:00+00:00,1,-480.7761527319556,-3.974683544303672,fast-alpha stop confirmation,NY ORB
2023-12-19 15:00:00+00:00,2023-12-19 20:55:00+00:00,1,-14.612573401040937,-0.12580578082761829,time,NY ORB
2023-12-21 14:55:00+00:00,2023-12-21 15:15:00+00:00,1,-232.482525298014,-2.0040609137054877,fast-alpha stop confirmation,NY ORB
2024-01-02 15:45:00+00:00,2024-01-02 20:55:00+00:00,-1,-0.22690796964281576,-0.001996007984035157,time,NY ORB
2024-01-04 14:55:00+00:00,2024-01-04 15:10:00+00:00,-1,-150.6209358636105,-1.3249714937286794,fast-alpha stop confirmation,NY ORB
2024-01-05 15:15:00+00:00,2024-01-05 17:15:00+00:00,1,-101.354666509814,-0.9035614245698341,fast-alpha stop confirmation,NY ORB
2024-01-09 16:15:00+00:00,2024-01-09 20:55:00+00:00,-1,-25.06918625873285,-0.2255257432922396,time,NY ORB
2024-01-10 14:55:00+00:00,2024-01-10 20:50:00+00:00,-1,117.61169209031218,1.0604420387911655,time,NY ORB
2024-01-16 16:15:00+00:00,2024-01-16 20:55:00+00:00,-1,117.81941784731517,1.051167964404898,time,NY ORB
2024-01-17 15:05:00+00:00,2024-01-17 20:55:00+00:00,-1,75.79852521906341,0.6692288618894081,time,NY ORB
2024-01-19 15:30:00+00:00,2024-01-19 20:55:00+00:00,-1,-42.01736009445979,-0.36850715746422436,time,NY ORB
2024-01-26 15:15:00+00:00,2024-01-26 20:55:00+00:00,-1,-11.422333494789054,-0.10054844606944856,time,NY ORB
2024-01-29 14:55:00+00:00,2024-01-29 20:25:00+00:00,-1,-121.63836852833752,-1.071835185687194,fast-alpha stop confirmation,NY ORB
2024-01-30 15:30:00+00:00,2024-01-30 20:55:00+00:00,-1,-28.73951473923045,-0.25598640506720993,time,NY ORB
2024-01-31 15:15:00+00:00,2024-01-31 19:10:00+00:00,1,-104.98529601017228,-0.9375169055991487,fast-alpha stop confirmation,NY ORB
2024-02-02 14:55:00+00:00,2024-02-02 20:50:00+00:00,1,78.75050549318068,0.7098960686850411,time,NY ORB
2024-02-05 15:05:00+00:00,2024-02-05 16:00:00+00:00,1,-74.67069541408168,-0.6683738796414836,fast-alpha stop confirmation,NY ORB
2024-02-06 15:15:00+00:00,2024-02-06 20:55:00+00:00,1,23.012541547249338,0.20737018425459045,time,NY ORB
2024-02-07 14:55:00+00:00,2024-02-07 20:50:00+00:00,1,-82.20625091979996,-0.7392424632826585,time,NY ORB
2024-02-21 16:10:00+00:00,2024-02-21 20:55:00+00:00,-1,-18.646537626669144,-0.16892840430512152,time,NY ORB
2024-02-22 14:55:00+00:00,2024-02-22 15:15:00+00:00,1,-79.07378269598053,-0.7175815433571991,fast-alpha stop confirmation,NY ORB
2024-03-01 15:00:00+00:00,2024-03-01 15:10:00+00:00,-1,-110.2092536010964,-1.0073594347954076,stop,NY ORB
