policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,htf_agreement,htf_biases,htf_reason
dynamic_balanced,LTA,BTCUSD,M30,2026-06,2026-06-30 18:30:00,2026-07-01 01:00:00,BUY,58577.2,58020.80379,4.0,58020.80379,loss,-1.0,98,420.641429,0.0,1000.0,0.7708,,"max(structure,1.00ATR)",balanced,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_balanced,LTA,BTCUSD,M30,2026-07,2026-07-01 02:00:00,2026-07-01 18:30:00,BUY,58857.14,57657.79854,4.0,60146.97,timeout,1.0754,92,288.076429,0.0,1000.0,0.4583,,"max(structure,0.80ATR)",balanced,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_balanced,LTA,ETHUSD,M15,2026-07,2026-07-01 17:45:00,2026-07-01 18:30:00,BUY,1621.04,1603.3625,3.0,1616.78,timeout,-0.241,91,9.85,0.0001,100.0,0.8854,,"max(structure,1.25ATR)",balanced,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_balanced,LTA,EURUSD,M15,2026-07,2026-07-01 12:30:00,2026-07-01 13:30:00,SELL,1.13731,1.14009,4.0,1.14009,loss,-1.0288,100,0.000606,0.0288,8.0,0.7604,,"max(structure,1.00ATR)",balanced,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,True,"{""D1"": ""bearish"", ""H1"": ""bearish"", ""H4"": ""ranging""}",passed
dynamic_balanced,LTA,USDJPY,M15,2026-07,2026-07-01 17:00:00,2026-07-01 18:45:00,BUY,162.478,162.34078,3.0,162.54,timeout,0.379,94,0.088143,0.0729,10.0,0.8958,,"max(structure,1.25ATR)",balanced,Entry Model 1 - Double Wick Confirmation,True,"{""D1"": ""bullish"", ""H1"": ""ranging"", ""H4"": ""bullish""}",passed
dynamic_balanced,LTA,USDJPY,M30,2026-06,2026-06-30 00:30:00,2026-06-30 12:30:00,BUY,162.129,161.82904,4.0,162.129,trail_stop,-0.0333,98,0.066429,0.0333,10.0,0.7083,,"max(structure,1.00ATR)",balanced,Entry Model 2 - Internal Swing Confirmation,True,"{""D1"": ""bullish"", ""H1"": ""bullish"", ""H4"": ""bullish""}",passed
dynamic_balanced,LTA,USDCHF,M30,2026-07,2026-07-01 12:30:00,2026-07-01 13:30:00,BUY,0.81146,0.80937,4.0,0.80937,loss,-1.0622,98,0.000642,0.0622,13.0,0.6458,,"max(structure,1.00ATR)",balanced,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,True,"{""D1"": ""bullish"", ""H1"": ""bullish"", ""H4"": ""ranging""}",passed
dynamic_conservative,LTA,XAUUSD,M15,2026-06,2026-06-30 03:45:00,2026-06-30 06:15:00,BUY,3969.724,3949.86564,2.0,4009.44072,win,1.9999,93,15.355714,0.0001,240.0,0.9688,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,True,{},not_forex
dynamic_conservative,LTA,XAUUSD,M15,2026-06,2026-06-30 05:15:00,2026-06-30 06:15:00,SELL,3982.685,3999.57499,3.0,3999.57499,loss,-1.0001,97,10.026571,0.0001,240.0,0.6771,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_conservative,LTA,XAUUSD,M15,2026-07,2026-07-01 05:30:00,2026-07-01 06:00:00,BUY,3974.701,3968.004571,3.0,3968.004571,loss,-1.0004,93,6.696429,0.0004,240.0,0.2812,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_conservative,LTA,XAUUSD,M15,2026-07,2026-07-01 07:00:00,2026-07-01 08:15:00,SELL,3961.667,3980.0514,3.0,3980.0514,loss,-1.0001,98,7.702643,0.0001,240.0,0.4896,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation + Entry Model 2 - Internal Swing Confirmation,True,{},not_forex
dynamic_conservative,LTA,XAUUSD,M15,2026-07,2026-07-01 07:45:00,2026-07-01 11:30:00,BUY,3976.152,3958.62282,3.0,4028.73954,win,2.9999,100,8.947857,0.0001,240.0,0.6771,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_conservative,LTA,XAUUSD,M15,2026-07,2026-07-01 11:30:00,2026-07-01 18:30:00,BUY,4029.326,3980.10619,3.0,4061.939,timeout,0.6626,100,8.578714,0.0,240.0,0.6562,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_conservative,LTA,XAGUSD,M15,2026-07,2026-07-01 05:30:00,2026-07-01 06:00:00,BUY,57.582,57.3477,3.0,57.3477,loss,-1.0013,95,0.222,0.0013,30.0,0.2708,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_conservative,LTA,BTCUSD,M15,2026-06,2026-06-30 07:15:00,2026-06-30 12:45:00,SELL,59382.55,59654.56861,3.0,58566.49417,win,3.0,91,160.390714,0.0,1000.0,0.1979,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_conservative,LTA,BTCUSD,M15,2026-06,2026-06-30 08:00:00,2026-06-30 12:45:00,SELL,59334.78,59652.63254,3.0,58381.22238,win,3.0,91,147.483571,0.0,1000.0,0.1042,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_conservative,LTA,BTCUSD,M30,2026-06,2026-06-30 18:30:00,2026-07-01 01:00:00,BUY,58577.2,58020.80379,2.0,58020.80379,loss,-1.0,98,420.641429,0.0,1000.0,0.7708,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_conservative,LTA,BTCUSD,M30,2026-07,2026-07-01 02:00:00,2026-07-01 18:30:00,BUY,58857.14,57657.79854,3.0,60146.97,timeout,1.0754,92,288.076429,0.0,1000.0,0.4583,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_conservative,LTA,ETHUSD,M15,2026-07,2026-07-01 17:45:00,2026-07-01 18:30:00,BUY,1621.04,1603.3625,2.0,1616.78,timeout,-0.241,91,9.85,0.0001,100.0,0.8854,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
