trail_start_r,trail_distance_r,max_hold_minutes,trades,wins,losses,breakevens,win_rate,total_r,final_balance,net_usd,return_pct,max_drawdown_usd,min_balance,below_zero
5.0,3.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
5.0,4.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
5.0,4.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
7.0,1.5,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
7.0,1.5,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
7.0,2.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
7.0,2.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
7.0,3.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
7.0,3.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
7.0,4.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
7.0,4.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
10.0,0.75,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
10.0,0.75,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
10.0,1.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
10.0,1.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
10.0,1.5,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
10.0,1.5,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
10.0,2.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
10.0,2.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
10.0,3.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
10.0,3.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
10.0,4.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
10.0,4.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
2.0,2.0,240,26,10,8,8,0.38461538461538464,12.931111500433012,3066.5699999999997,2566.5699999999997,513.314,1122.0900000000001,500.0,False
2.0,1.5,120,26,10,9,7,0.38461538461538464,11.57337890941804,2809.7200000000003,2309.7200000000003,461.9440000000001,655.97,500.0,False
2.0,3.0,240,26,7,8,8,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
2.0,4.0,240,26,7,8,8,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
3.0,1.5,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
3.0,2.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
