candidate,stage,score,mode,risk_pct,grid_levels,first_offset_atr,grid_step_atr,stop_extra_atr,target_atr,be_trigger_r,be_lock_r,trail_start_r,trail_distance_atr,pending_expiry_bars,max_hold_bars,cooldown_bars,session_start_utc,session_end_utc,adx_min,adx_max,range_adx_max,rsi_long_max,rsi_short_min,max_spread_price,max_daily_loss_pct,start,end,starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,profit_factor,max_drawdown_pct,realized_drawdown_pct,max_consecutive_losses,exposure_pct_max
41,train,1.3400099248659378,trend,0.5,3,0.2,0.9,0.9,1.25,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,10015.780611626004,15.78061162600352,0.1578061162600397,26,18,8,69.23076923076923,1.0605299965073682,0.9549201024493547,0.750226086180943,2,0.4560307572441887
42,train,1.3400099248659378,trend,0.5,3,0.2,0.9,0.9,1.25,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,10015.780611626004,15.78061162600352,0.1578061162600397,26,18,8,69.23076923076923,1.0605299965073682,0.9549201024493547,0.750226086180943,2,0.4560307572441887
43,train,1.9850897394473421,trend,0.5,3,0.2,0.9,0.9,1.75,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,10059.443728588016,59.4437285880158,0.5944372858801561,25,16,9,64.0,1.1974821904019046,0.9746177373536795,0.9459286923123712,2,0.4551060665080866
44,train,1.9850897394473421,trend,0.5,3,0.2,0.9,0.9,1.75,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,10059.443728588016,59.4437285880158,0.5944372858801561,25,16,9,64.0,1.1974821904019046,0.9746177373536795,0.9459286923123712,2,0.4551060665080866
45,train,-10000.0,trend,0.5,3,0.2,0.9,1.3,1.25,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9884.545759333118,-115.45424066688247,-1.1545424066688237,23,15,8,65.21739130434783,0.590057553047653,1.5571554694134553,1.5571554694134553,2,0.4721989838722139
46,train,-10000.0,trend,0.5,3,0.2,0.9,1.3,1.25,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9884.545759333118,-115.45424066688247,-1.1545424066688237,23,15,8,65.21739130434783,0.590057553047653,1.5571554694134553,1.5571554694134553,2,0.4721989838722139
47,train,-10000.0,trend,0.5,3,0.2,0.9,1.3,1.75,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9866.54845637268,-133.45154362731955,-1.3345154362731981,22,13,9,59.09090909090909,0.596691195602401,1.8962322580493078,1.8962322580493078,2,0.49498065592745355
48,train,-10000.0,trend,0.5,3,0.2,0.9,1.3,1.75,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9866.54845637268,-133.45154362731955,-1.3345154362731981,22,13,9,59.09090909090909,0.596691195602401,1.8962322580493078,1.8962322580493078,2,0.49498065592745355
49,train,-10000.0,trend,0.5,3,0.35,0.6,0.9,1.25,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9940.14246187234,-59.85753812766052,-0.5985753812766004,25,16,9,64.0,0.815461293876056,1.564938612707224,1.5421354234312281,4,0.4865399934892036
50,train,-10000.0,trend,0.5,3,0.35,0.6,0.9,1.25,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9940.14246187234,-59.85753812766052,-0.5985753812766004,25,16,9,64.0,0.815461293876056,1.564938612707224,1.5421354234312281,4,0.4865399934892036
51,train,-10000.0,trend,0.5,3,0.35,0.6,0.9,1.75,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9926.404652637484,-73.5953473625159,-0.7359534736251616,24,13,11,54.166666666666664,0.8189861276957179,1.7345834476298228,1.6180131821555446,4,0.4966354861778963
52,train,-10000.0,trend,0.5,3,0.35,0.6,0.9,1.75,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9979.893202278548,-20.106797721451585,-0.20106797721451963,24,14,10,58.333333333333336,0.9438274467123741,1.4562744855734044,1.433511965693612,4,0.493988737134193
53,train,-10000.0,trend,0.5,3,0.35,0.6,1.3,1.25,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9986.28027590676,-13.719724093240075,-0.13719724093239627,23,16,7,69.56521739130434,0.949080348070991,1.0388369740285635,0.7962768669125171,2,0.4815488001999722
54,train,-10000.0,trend,0.5,3,0.35,0.6,1.3,1.25,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9986.28027590676,-13.719724093240075,-0.13719724093239627,23,16,7,69.56521739130434,0.949080348070991,1.0388369740285635,0.7962768669125171,2,0.4815488001999722
55,train,-10000.0,trend,0.5,3,0.35,0.6,1.3,1.75,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9973.214493988784,-26.785506011216057,-0.2678550601121654,23,14,9,60.86956521739131,0.9252162947645958,1.2068365752880827,1.111691825506529,2,0.4805719962287025
