number,ea,symbol,side,volume,open_time,close_time,open_price,close_price,net_profit,result,source,entry_comment,exit_comment,cache_slug,cache_mode,cache_period,price_move,price_move_unit,pip_size,estimated_r,estimated_risk_cash,configured_risk_pct,r_is_estimate,open_dt,close_dt,clock10,clock20,clock40,rolling20,family,strategy
34,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.12,2025-03-07T15:45:00,2025-03-07T20:55:00,2914.491,2908.513,71.07,Win,Precomputed native MT5 deals,ORB RV 1.01 BV 1.40,,orb-volume-profile-volume-confirmed,standard,3y,59.78,pips,0.1,0.67,105.34,1.0,True,2025-03-07 15:45:00+00:00,2025-03-07 20:55:00+00:00,1.9240846489754786,2.3275091426249492,2.3134087237479806,1.4015170051382433,ORB,orb-volume-profile-volume-confirmed
35,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.15,2025-03-10T14:10:00,2025-03-10T16:46:36,2904.944,2898.181,-102.27,Loss,Precomputed native MT5 deals,ORB RV 0.97 BV 1.71,sl 2898.187,orb-volume-profile-volume-confirmed,standard,3y,-67.63,pips,0.1,-0.96,106.05,1.0,True,2025-03-10 14:10:00+00:00,2025-03-10 16:46:36+00:00,1.3834329632792486,1.4481525625744935,1.4785518710069974,1.7118703768932724,ORB,orb-volume-profile-volume-confirmed
36,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.04,2025-04-04T14:05:00,2025-04-04T19:55:00,3056.785,3036.422,81.23,Win,Precomputed native MT5 deals,ORB RV 2.50 BV 1.26,,orb-volume-profile-volume-confirmed,standard,3y,203.63,pips,0.1,0.77,105.02,1.0,True,2025-04-04 14:05:00+00:00,2025-04-04 19:55:00+00:00,3.136717533478667,3.272254710851202,3.272254710851202,1.262155388471178,ORB,orb-volume-profile-volume-confirmed
37,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.05,2025-05-02T15:35:00,2025-05-02T19:55:00,3242.484,3233.522,44.53,Win,Precomputed native MT5 deals,ORB RV 0.98 BV 1.37,,orb-volume-profile-volume-confirmed,standard,3y,89.62,pips,0.1,0.42,105.84,1.0,True,2025-05-02 15:35:00+00:00,2025-05-02 19:55:00+00:00,1.6964671953857247,1.781226343679031,1.9430222956234517,1.3680232558139536,ORB,orb-volume-profile-volume-confirmed
38,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.11,2025-05-15T14:10:00,2025-05-15T16:40:29,3198.227,3222.056,261.51,Win,Precomputed native MT5 deals,ORB RV 0.93 BV 1.13,tp 3222.027,orb-volume-profile-volume-confirmed,standard,3y,238.29,pips,0.1,2.46,106.28,1.0,True,2025-05-15 14:10:00+00:00,2025-05-15 16:40:29+00:00,1.0315838365071992,0.7383643617021277,0.9485372624386077,1.1285569105691058,ORB,orb-volume-profile-volume-confirmed
39,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.09,2025-05-22T13:50:00,2025-05-22T14:26:39,3302.687,3296.974,50.91,Win,Precomputed native MT5 deals,ORB RV 1.03 BV 1.72,sl 3296.941,orb-volume-profile-volume-confirmed,standard,3y,57.13,pips,0.1,0.47,108.9,1.0,True,2025-05-22 13:50:00+00:00,2025-05-22 14:26:39+00:00,1.3114406779661016,1.1535594483786806,1.2274439817568907,1.7227943222933482,ORB,orb-volume-profile-volume-confirmed
40,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.13,2025-06-17T13:50:00,2025-06-17T14:37:30,3390.009,3369.805,261.93,Win,Precomputed native MT5 deals,ORB RV 1.02 BV 1.90,tp 3369.811,orb-volume-profile-volume-confirmed,standard,3y,202.04,pips,0.1,2.39,109.4,1.0,True,2025-06-17 13:50:00+00:00,2025-06-17 14:37:30+00:00,1.376355748373102,1.2243125904486252,0.9841023652578519,1.8982797307404637,ORB,orb-volume-profile-volume-confirmed
41,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.11,2025-07-07T13:55:00,2025-07-07T19:34:37,3315.405,3339.694,266.56,Win,Precomputed native MT5 deals,ORB RV 0.92 BV 1.11,tp 3339.690,orb-volume-profile-volume-confirmed,standard,3y,242.89,pips,0.1,2.38,112.02,1.0,True,2025-07-07 13:55:00+00:00,2025-07-07 19:34:37+00:00,0.963716514072567,0.9598108747044918,0.765625,1.1127642913077525,ORB,orb-volume-profile-volume-confirmed
42,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.18,2025-07-14T14:05:00,2025-07-14T14:30:02,3352.454,3352.468,-1.24,Loss,Precomputed native MT5 deals,ORB RV 0.86 BV 1.23,sl 3352.454,orb-volume-profile-volume-confirmed,standard,3y,-0.14,pips,0.1,-0.01,114.69,1.0,True,2025-07-14 14:05:00+00:00,2025-07-14 14:30:02+00:00,0.8930081300813009,0.9277027027027027,0.7737390814313891,1.2297357814599195,ORB,orb-volume-profile-volume-confirmed
43,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.17,2025-07-22T13:50:00,2025-07-22T13:59:31,3419.097,3412.698,-109.72,Loss,Precomputed native MT5 deals,ORB RV 1.21 BV 1.21,sl 3412.704,orb-volume-profile-volume-confirmed,standard,3y,-63.99,pips,0.1,-0.96,114.68,1.0,True,2025-07-22 13:50:00+00:00,2025-07-22 13:59:31+00:00,0.8418926716676284,0.9090342679127725,0.8171380565667881,1.2117940199335548,ORB,orb-volume-profile-volume-confirmed
44,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.16,2025-08-07T14:00:00,2025-08-07T14:12:30,3384.933,3384.942,-1.02,Loss,Precomputed native MT5 deals,ORB RV 1.22 BV 1.61,sl 3384.933,orb-volume-profile-volume-confirmed,standard,3y,-0.09,pips,0.1,-0.01,113.58,1.0,True,2025-08-07 14:00:00+00:00,2025-08-07 14:12:30+00:00,1.4656429942418425,1.4182763744427935,1.4741312741312742,1.610970464135021,ORB,orb-volume-profile-volume-confirmed
45,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.12,2025-08-08T14:10:00,2025-08-08T16:25:37,3389.53,3398.544,-108.83,Loss,Precomputed native MT5 deals,ORB RV 1.32 BV 1.89,sl 3398.544,orb-volume-profile-volume-confirmed,standard,3y,-90.14,pips,0.1,-0.96,113.57,1.0,True,2025-08-08 14:10:00+00:00,2025-08-08 16:25:37+00:00,2.837752525252525,3.3100147275405005,3.1215277777777777,1.8874658828469453,ORB,orb-volume-profile-volume-confirmed
46,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.11,2025-09-16T14:45:00,2025-09-16T16:23:04,3689.495,3689.495,-0.61,Loss,Precomputed native MT5 deals,ORB RV 1.20 BV 1.27,sl 3689.495,orb-volume-profile-volume-confirmed,standard,3y,-0.0,pips,0.1,-0.01,112.48,1.0,True,2025-09-16 14:45:00+00:00,2025-09-16 16:23:04+00:00,1.2444761225944405,1.4183590576766856,1.6943231441048034,1.2693565976008725,ORB,orb-volume-profile-volume-confirmed
47,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.16,2025-09-19T13:55:00,2025-09-19T17:46:39,3660.386,3677.712,276.33,Win,Precomputed native MT5 deals,ORB RV 1.04 BV 1.19,tp 3677.696,orb-volume-profile-volume-confirmed,standard,3y,173.26,pips,0.1,2.46,112.48,1.0,True,2025-09-19 13:55:00+00:00,2025-09-19 17:46:39+00:00,0.8865979381443299,0.9506514015001974,0.9506514015001974,1.1944444444444444,ORB,orb-volume-profile-volume-confirmed
48,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.07,2025-10-01T15:20:00,2025-10-01T19:55:00,3863.41,3868.656,-37.11,Loss,Precomputed native MT5 deals,ORB RV 1.43 BV 1.20,,orb-volume-profile-volume-confirmed,standard,3y,-52.46,pips,0.1,-0.32,115.24,1.0,True,2025-10-01 15:20:00+00:00,2025-10-01 19:55:00+00:00,2.454991816693944,2.7726432532347505,3.466204506065858,1.2019230769230769,ORB,orb-volume-profile-volume-confirmed
49,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.04,2025-11-20T16:30:00,2025-11-20T20:55:00,4065.213,4076.126,-43.87,Loss,Precomputed native MT5 deals,ORB RV 1.28 BV 1.22,,orb-volume-profile-volume-confirmed,standard,3y,-109.13,pips,0.1,-0.38,114.87,1.0,True,2025-11-20 16:30:00+00:00,2025-11-20 20:55:00+00:00,2.1571609632446136,2.4759965085830666,2.446105202644438,1.2184994272623138,ORB,orb-volume-profile-volume-confirmed
50,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.08,2025-11-21T14:55:00,2025-11-21T15:40:19,4074.329,4060.62,-110.11,Loss,Precomputed native MT5 deals,ORB RV 1.28 BV 1.54,sl 4060.624,orb-volume-profile-volume-confirmed,standard,3y,-137.09,pips,0.1,-0.96,114.43,1.0,True,2025-11-21 14:55:00+00:00,2025-11-21 15:40:19+00:00,1.264576802507837,1.2996134020618557,1.4085195530726258,1.5432287681713848,ORB,orb-volume-profile-volume-confirmed
51,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.06,2025-12-16T15:20:00,2025-12-16T17:06:38,4316.706,4308.588,48.38,Win,Precomputed native MT5 deals,ORB RV 0.92 BV 1.33,sl 4308.574,orb-volume-profile-volume-confirmed,standard,3y,81.18,pips,0.1,0.43,113.33,1.0,True,2025-12-16 15:20:00+00:00,2025-12-16 17:06:38+00:00,1.2869308876514904,1.2869308876514904,1.450083041151504,1.329610829103215,ORB,orb-volume-profile-volume-confirmed
52,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.05,2026-01-05T14:50:00,2026-01-05T20:55:00,4436.917,4442.035,25.31,Win,Precomputed native MT5 deals,ORB RV 1.14 BV 1.57,,orb-volume-profile-volume-confirmed,standard,3y,51.18,pips,0.1,0.22,113.81,1.0,True,2026-01-05 14:50:00+00:00,2026-01-05 20:55:00+00:00,0.9173775856024308,1.0427736450584484,1.1456509048453007,1.5656162744315916,ORB,orb-volume-profile-volume-confirmed
