time,event,position_id,dir,entry,sl,tp,note,buffer,broken,previous,close1,close2,old_sl,closed_bar,balance,equity,ladder
2024.08.02 00:30:00,entry,234,1,2449.602,2443.659,2452.795,aoi_target|risk=130.7400|volume=0.2200|PD=2024.08.02 00:00:00|PW=2024.07.28 00:00:00,0.11533214285714005,0.0,0.0,0.0,0.0,0.0,,12630.12,12627.66,PD.VAL=2439.755;PD.POC=2445.523;PD.VAH=2452.795
2024.08.02 01:30:00,entry,236,1,2443.221,2434.46,2445.523,aoi_target|risk=131.4200|volume=0.1500|PD=2024.08.02 00:00:00|PW=2024.07.28 00:00:00,0.1859071428571383,0.0,0.0,0.0,0.0,0.0,,12498.06,12496.38,PD.VAL=2439.755;PD.POC=2445.523;PD.VAH=2452.795
2024.08.02 02:00:00,entry,238,1,2447.354,2438.833,2452.795,aoi_target|risk=127.8100|volume=0.1500|PD=2024.08.02 00:00:00|PW=2024.07.28 00:00:00,0.20405357142856573,0.0,0.0,0.0,0.0,0.0,,12532.18,12530.5,PD.VAL=2439.755;PD.POC=2445.523;PD.VAH=2452.795
2024.08.02 03:00:00,entry,240,1,2455.681,2447.596,2479.936,fallback_3R|risk=129.3600|volume=0.1600|PD=2024.08.02 00:00:00|PW=2024.07.28 00:00:00,0.24534642857142575,0.0,0.0,0.0,0.0,0.0,,12613.4,12611.6,PD.VAL=2439.755;PD.POC=2445.523;PD.VAH=2452.795
2024.08.02 16:15:00,entry,242,1,2437.661,2412.876,2439.755,aoi_target|risk=148.7100|volume=0.0600|PD=2024.08.02 00:00:00|PW=2024.07.28 00:00:00,0.642924999999996,0.0,0.0,0.0,0.0,0.0,,12483.56,12482.88,PD.VAL=2439.755;PD.POC=2445.523;PD.VAH=2452.795
2024.08.13 02:00:00,entry,244,1,2466.459,2462.271,2479.023,fallback_3R|risk=125.6400|volume=0.3000|PD=2024.08.13 00:00:00|PW=2024.08.11 00:00:00,0.15753928571428855,0.0,0.0,0.0,0.0,0.0,,12494.55,12491.4,PD.VAL=2424.675;PD.POC=2442.213;PD.VAH=2457.303
2024.08.13 07:30:00,entry,246,1,2464.82,2460.446,2477.942,fallback_3R|risk=126.8500|volume=0.2900|PD=2024.08.13 00:00:00|PW=2024.08.11 00:00:00,0.14629285714285875,0.0,0.0,0.0,0.0,0.0,,12367.31,12364.27,PD.VAL=2424.675;PD.POC=2442.213;PD.VAH=2457.303
2024.08.14 00:15:00,entry,248,1,2466.478,2463.051,2469.203,aoi_target|risk=123.3700|volume=0.3600|PD=2024.08.14 00:00:00|PW=2024.08.11 00:00:00,0.08453928571428508,0.0,0.0,0.0,0.0,0.0,,12238.25,12234.47,PD.VAL=2460.834;PD.POC=2464.441;PD.VAH=2469.203
2024.08.14 03:15:00,entry,250,1,2460.91,2458.358,2464.441,aoi_target|risk=125.0500|volume=0.4900|PD=2024.08.14 00:00:00|PW=2024.08.11 00:00:00,0.15474285714285868,0.0,0.0,0.0,0.0,0.0,,12334.84,12329.7,PD.VAL=2460.834;PD.POC=2464.441;PD.VAH=2469.203
2024.08.14 06:30:00,entry,252,1,2466.362,2460.064,2469.203,aoi_target|risk=125.9600|volume=0.2000|PD=2024.08.14 00:00:00|PW=2024.08.11 00:00:00,0.11061785714285699,0.0,0.0,0.0,0.0,0.0,,12507.59,12505.49,PD.VAL=2460.834;PD.POC=2464.441;PD.VAH=2469.203
