time,event,position_id,dir,entry,sl,tp,note,buffer,broken,previous,close1,close2,old_sl,closed_bar,balance,equity,ladder
2024.09.15 23:45:00,entry,242,1,2580.29,2578.039,2587.043,fallback_3R|risk=141.8100|volume=0.6300|PD=2024.09.15 00:00:00|PW=2024.09.08 00:00:00,0.08912857142856866,0.0,0.0,0.0,0.0,0.0,,14157.39,14150.33,PW.VAL=2484.434;PW.POC=2494.737;PW.VAH=2513.998
2024.09.16 07:45:00,entry,244,1,2583.505,2579.181,2596.477,fallback_3R|risk=147.0200|volume=0.3400|PD=2024.09.16 00:00:00|PW=2024.09.15 00:00:00,0.12286071428571697,0.0,0.0,0.0,0.0,0.0,,14581.65,14577.84,PW.VAL=2487.099;PW.POC=2505.179;PW.VAH=2543.696
2024.09.16 11:00:00,entry,246,1,2579.934,2574.971,2594.823,fallback_3R|risk=148.8900|volume=0.3000|PD=2024.09.16 00:00:00|PW=2024.09.15 00:00:00,0.14088928571428436,0.0,0.0,0.0,0.0,0.0,,14431.83,14428.47,PW.VAL=2487.099;PW.POC=2505.179;PW.VAH=2543.696
2024.09.17 06:45:00,entry,248,1,2585.81,2581.752,2597.984,fallback_3R|risk=146.0900|volume=0.3600|PD=2024.09.17 00:00:00|PW=2024.09.15 00:00:00,0.12050357142856652,0.0,0.0,0.0,0.0,0.0,,14264.4,14260.37,PW.VAL=2487.099;PW.POC=2505.179;PW.VAH=2543.696
2024.09.20 02:00:00,entry,250,1,2588.381,2584.959,2598.647,fallback_3R|risk=143.7200|volume=0.4200|PD=2024.09.20 00:00:00|PW=2024.09.15 00:00:00,0.0734821428571422,0.0,0.0,0.0,0.0,0.0,,14115.46,14110.76,PW.VAL=2487.099;PW.POC=2505.179;PW.VAH=2543.696
2024.09.23 01:45:00,entry,252,1,2621.187,2616.873,2634.129,fallback_3R|risk=146.6800|volume=0.3400|PD=2024.09.23 00:00:00|PW=2024.09.22 00:00:00,0.09190714285714259,0.0,0.0,0.0,0.0,0.0,,14546.07,14542.26,PW.VAL=2564.117;PW.POC=2581.999;PW.VAH=2592.481
2024.09.23 12:45:00,entry,254,1,2624.099,2619.662,2637.41,fallback_3R|risk=146.4200|volume=0.3300|PD=2024.09.23 00:00:00|PW=2024.09.22 00:00:00,0.13410000000000244,0.0,0.0,0.0,0.0,0.0,,14397.5,14393.8,PW.VAL=2564.117;PW.POC=2581.999;PW.VAH=2592.481
2024.09.24 07:00:00,entry,256,1,2628.878,2624.096,2643.224,fallback_3R|risk=148.2400|volume=0.3100|PD=2024.09.24 00:00:00|PW=2024.09.22 00:00:00,0.18302500000000108,0.0,0.0,0.0,0.0,0.0,,14817.7,14814.23,PW.VAL=2564.117;PW.POC=2581.999;PW.VAH=2592.481
2024.09.24 08:00:00,entry,258,1,2629.141,2622.081,2650.321,fallback_3R|risk=148.2600|volume=0.2100|PD=2024.09.24 00:00:00|PW=2024.09.22 00:00:00,0.1945571428571449,0.0,0.0,0.0,0.0,0.0,,14667.92,14665.57,PW.VAL=2564.117;PW.POC=2581.999;PW.VAH=2592.481
2024.09.26 01:15:00,entry,260,1,2660.738,2657.396,2670.764,fallback_3R|risk=153.7300|volume=0.4600|PD=2024.09.26 00:00:00|PW=2024.09.22 00:00:00,0.09125714285714334,0.0,0.0,0.0,0.0,0.0,,15110.49,15105.34,PW.VAL=2564.117;PW.POC=2581.999;PW.VAH=2592.481
2024.09.26 03:15:00,entry,262,1,2659.743,2656.739,2668.755,fallback_3R|risk=150.2000|volume=0.5000|PD=2024.09.26 00:00:00|PW=2024.09.22 00:00:00,0.12297857142857214,0.0,0.0,0.0,0.0,0.0,,14953.82,14948.22,PW.VAL=2564.117;PW.POC=2581.999;PW.VAH=2592.481
2024.09.26 13:30:00,entry,264,1,2667.96,2654.482,2708.394,fallback_3R|risk=161.7400|volume=0.1200|PD=2024.09.26 00:00:00|PW=2024.09.22 00:00:00,0.3430464285714298,0.0,0.0,0.0,0.0,0.0,,15404.91,15403.57,PW.VAL=2564.117;PW.POC=2581.999;PW.VAH=2592.481
2024.10.02 01:30:00,entry,266,1,2659.317,2655.107,2660.389,aoi_target|risk=155.7700|volume=0.3700|PD=2024.10.02 00:00:00|PW=2024.09.29 00:00:00,0.08235357142857214,0.0,0.0,0.0,0.0,0.0,,15234.67,15230.53,PW.VAL=2636.264;PW.POC=2660.389;PW.VAH=2681.147
2024.10.02 02:00:00,entry,268,1,2660.747,2655.106,2681.147,aoi_target|risk=157.9500|volume=0.2800|PD=2024.10.02 00:00:00|PW=2024.09.29 00:00:00,0.08292142857142804,0.0,0.0,0.0,0.0,0.0,,15273.76,15270.62,PW.VAL=2636.264;PW.POC=2660.389;PW.VAH=2681.147
2024.10.02 05:15:00,entry,270,1,2655.033,2653.511,2660.389,aoi_target|risk=152.2000|volume=1.0000|PD=2024.10.02 00:00:00|PW=2024.09.29 00:00:00,0.10154285714285638,0.0,0.0,0.0,0.0,0.0,,15110.22,15099.02,PW.VAL=2636.264;PW.POC=2660.389;PW.VAH=2681.147
2024.10.03 00:00:00,entry,272,1,2660.435,2655.157,2681.147,aoi_target|risk=153.0700|volume=0.2900|PD=2024.10.03 00:00:00|PW=2024.09.29 00:00:00,0.061700000000002676,0.0,0.0,0.0,0.0,0.0,,14954.42,14951.17,PW.VAL=2636.264;PW.POC=2660.389;PW.VAH=2681.147
2024.10.03 02:00:00,entry,274,1,2658.348,2654.813,2660.389,aoi_target|risk=148.4700|volume=0.4200|PD=2024.10.03 00:00:00|PW=2024.09.29 00:00:00,0.08552857142857583,0.0,0.0,0.0,0.0,0.0,,14798.67,14793.96,PW.VAL=2636.264;PW.POC=2660.389;PW.VAH=2681.147
2024.10.04 07:15:00,entry,276,1,2660.567,2655.053,2681.147,aoi_target|risk=148.8800|volume=0.2700|PD=2024.10.04 00:00:00|PW=2024.09.29 00:00:00,0.10481428571428555,0.0,0.0,0.0,0.0,0.0,,14648.5,14645.48,PW.VAL=2636.264;PW.POC=2660.389;PW.VAH=2681.147
2024.10.04 14:30:00,entry,278,1,2650.512,2645.728,2660.389,aoi_target|risk=148.3000|volume=0.3100|PD=2024.10.04 00:00:00|PW=2024.09.29 00:00:00,0.32402857142857655,0.0,0.0,0.0,0.0,0.0,,14495.21,14491.74,PW.VAL=2636.264;PW.POC=2660.389;PW.VAH=2681.147
2024.10.04 15:00:00,entry,280,1,2658.474,2647.686,2660.389,aoi_target|risk=151.0400|volume=0.1400|PD=2024.10.04 00:00:00|PW=2024.09.29 00:00:00,0.36731785714285936,0.0,0.0,0.0,0.0,0.0,,14800.72,14799.15,PW.VAL=2636.264;PW.POC=2660.389;PW.VAH=2681.147
2024.10.04 15:15:00,entry,282,1,2666.756,2652.19,2681.147,aoi_target|risk=160.2300|volume=0.1100|PD=2024.10.04 00:00:00|PW=2024.09.29 00:00:00,0.40101785714285826,0.0,0.0,0.0,0.0,0.0,,14826.94,14825.7,PW.VAL=2636.264;PW.POC=2660.389;PW.VAH=2681.147
2024.10.04 16:00:00,entry,284,1,2653.363,2646.701,2660.389,aoi_target|risk=153.2300|volume=0.2300|PD=2024.10.04 00:00:00|PW=2024.09.29 00:00:00,0.4677928571428554,0.0,0.0,0.0,0.0,0.0,,14665.3,14662.72,PW.VAL=2636.264;PW.POC=2660.389;PW.VAH=2681.147
