date,event,source,prior_business_day,prior_day_had_auction
2025-09-25,Gross Domestic Product,https://www.bea.gov/news/schedule/full-2025,2025-09-24,True
2025-09-25,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-09-24,True
2025-10-02,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-10-01,False
2025-10-09,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-10-08,True
2025-10-16,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-10-15,False
2025-10-23,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-10-22,True
2025-10-30,Gross Domestic Product,https://www.bea.gov/news/schedule/full-2025,2025-10-29,True
2025-10-30,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-10-29,True
2025-11-06,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-11-05,False
2025-11-13,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-11-12,True
2025-11-20,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-11-19,True
2025-11-27,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-11-26,True
2025-12-04,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-12-03,False
2025-12-11,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-12-10,False
2025-12-18,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-12-17,True
2025-12-23,Gross Domestic Product,https://www.bea.gov/news/schedule/full-2025,2025-12-22,True
2025-12-24,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-12-23,True
2025-12-31,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-12-30,False
2026-01-08,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-01-07,False
2026-01-15,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-01-14,False
2026-01-22,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-01-21,True
2026-01-29,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-01-28,True
2026-02-05,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-02-04,False
2026-02-12,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-02-11,True
2026-02-19,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-02-18,True
2026-02-26,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-02-25,True
2026-03-05,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-03-04,False
2026-03-12,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-03-11,True
2026-03-19,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-03-18,False
2026-03-26,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-03-25,True
2026-04-02,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-04-01,False
2026-04-09,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-04-08,True
2026-04-16,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-04-15,False
2026-04-23,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-04-22,True
2026-04-30,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-04-29,False
2026-05-07,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-05-06,False
2026-05-14,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-05-13,True
2026-05-21,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-05-20,True
2026-05-28,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-05-27,True
2026-06-04,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-06-03,False
2026-06-11,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-06-10,True
2026-06-18,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-06-17,False
2026-06-25,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-06-24,True
2026-07-02,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-07-01,False
2026-07-09,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2026-07-08,True
