bot,symbol,opened_at,closed_at,r_multiple,source,opened_dt,closed_dt,balance_before,risk_amount,pnl,balance_after
NewsPulse,US30,2026-06-09 12:30:00,2026-06-09 12:35:00,1.4176,strategy_suite,2026-06-09 12:30:00+00:00,2026-06-09 12:35:00+00:00,100.9,5.04,7.15,108.05
NewsPulse,US30,2026-06-09 14:00:00,2026-06-09 14:01:00,-1.0467,strategy_suite,2026-06-09 14:00:00+00:00,2026-06-09 14:01:00+00:00,108.05,5.4,-5.65,102.39
NewsPulse,BTCUSD,2026-06-09 18:00:00,2026-06-09 18:03:00,-1.1507,strategy_suite,2026-06-09 18:00:00+00:00,2026-06-09 18:03:00+00:00,102.39,5.12,-5.89,96.5
NewsPulse,US30,2026-06-09 18:00:00,2026-06-09 18:10:00,-1.0629,strategy_suite,2026-06-09 18:00:00+00:00,2026-06-09 18:10:00+00:00,96.5,4.83,-5.13,91.37
LTA,AUDUSD,2026-06-10 00:30:00,2026-06-10 12:30:00,0.4338,lta_orb_fixed_current,2026-06-10 00:30:00+00:00,2026-06-10 12:30:00+00:00,91.37,4.57,1.98,93.36
Grid,AUDUSD,2026-06-10 04:30:00,2026-06-10 07:00:00,0.373,strategy_suite,2026-06-10 04:30:00+00:00,2026-06-10 07:00:00+00:00,93.36,4.67,1.74,95.1
NewsPulse,BTCUSD,2026-06-10 12:30:00,2026-06-10 12:30:00,-1.1135,strategy_suite,2026-06-10 12:30:00+00:00,2026-06-10 12:30:00+00:00,95.1,4.75,-5.29,89.8
NewsPulse,XAGUSD,2026-06-10 12:30:00,2026-06-10 12:30:00,-1.0466,strategy_suite,2026-06-10 12:30:00+00:00,2026-06-10 12:30:00+00:00,89.8,4.49,-4.7,85.1
NewsPulse,US30,2026-06-10 14:00:00,2026-06-10 14:03:00,-1.0402,strategy_suite,2026-06-10 14:00:00+00:00,2026-06-10 14:03:00+00:00,85.1,4.26,-4.43,80.68
NewsPulse,XAGUSD,2026-06-10 14:00:00,2026-06-10 14:00:00,-1.1478,strategy_suite,2026-06-10 14:00:00+00:00,2026-06-10 14:00:00+00:00,80.68,4.03,-4.63,76.05
NewsPulse,BTCUSD,2026-06-10 18:00:00,2026-06-10 18:07:00,0.397,strategy_suite,2026-06-10 18:00:00+00:00,2026-06-10 18:07:00+00:00,76.05,3.8,1.51,77.56
NewsPulse,US30,2026-06-10 18:00:00,2026-06-10 18:08:00,0.4562,strategy_suite,2026-06-10 18:00:00+00:00,2026-06-10 18:08:00+00:00,77.56,3.88,1.77,79.33
NewsPulse,BTCUSD,2026-06-11 12:30:00,2026-06-11 12:30:00,-1.0732,strategy_suite,2026-06-11 12:30:00+00:00,2026-06-11 12:30:00+00:00,79.33,3.97,-4.26,75.07
NewsPulse,EURUSD,2026-06-11 12:30:00,2026-06-11 12:32:00,-1.1194,strategy_suite,2026-06-11 12:30:00+00:00,2026-06-11 12:32:00+00:00,75.07,3.75,-4.2,70.87
NewsPulse,BTCUSD,2026-06-11 14:00:00,2026-06-11 14:05:00,-1.0985,strategy_suite,2026-06-11 14:00:00+00:00,2026-06-11 14:05:00+00:00,70.87,3.54,-3.89,66.98
NewsPulse,US30,2026-06-11 14:00:00,2026-06-11 14:16:00,1.4743,strategy_suite,2026-06-11 14:00:00+00:00,2026-06-11 14:16:00+00:00,66.98,3.35,4.94,71.91
Sniper,BTCUSD,2026-06-11T16:00:00Z,2026-06-17T19:35:00Z,1.0,sniper,2026-06-11 16:00:00+00:00,2026-06-17 19:35:00+00:00,71.91,3.6,3.6,75.51
NewsPulse,BTCUSD,2026-06-11 18:00:00,2026-06-11 18:08:00,-1.0343,strategy_suite,2026-06-11 18:00:00+00:00,2026-06-11 18:08:00+00:00,75.51,3.78,-3.9,71.6
NewsPulse,XAGUSD,2026-06-11 18:00:00,2026-06-11 18:03:00,-1.1531,strategy_suite,2026-06-11 18:00:00+00:00,2026-06-11 18:03:00+00:00,71.6,3.58,-4.13,67.47
NewsPulse,BTCUSD,2026-06-12 12:30:00,2026-06-12 12:48:00,0.3771,strategy_suite,2026-06-12 12:30:00+00:00,2026-06-12 12:48:00+00:00,67.47,3.37,1.27,68.75
NewsPulse,US30,2026-06-12 12:30:00,2026-06-12 12:33:00,-1.1567,strategy_suite,2026-06-12 12:30:00+00:00,2026-06-12 12:33:00+00:00,68.75,3.44,-3.98,64.77
NewsPulse,BTCUSD,2026-06-12 14:00:00,2026-06-12 14:00:00,-1.0853,strategy_suite,2026-06-12 14:00:00+00:00,2026-06-12 14:00:00+00:00,64.77,3.24,-3.51,61.26
