symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr,risk_per_lot,lot_min,lot_max,lot_step
XAUUSD,30,1.1111111111111112,2026-06,2026-06-03,2026-06-03 07:30:00,2026-06-03 07:30:00,SELL,4455.991,4459.591,4451.991,4459.591,loss,-1.0778,0.0778,280.0,-360.0,4472.241,4455.991,2.0955,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-06,2026-06-04,2026-06-04 07:30:00,2026-06-04 07:30:00,SELL,4461.672,4465.272,4457.672,4465.272,loss,-1.0778,0.0778,280.0,-360.0,4470.612,4461.672,1.1515,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-06,2026-06-09,2026-06-09 07:30:00,2026-06-09 07:30:00,SELL,4322.911,4326.511,4318.911,4326.511,loss,-1.0722,0.0722,260.0,-360.0,4334.59,4322.911,1.504,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-06,2026-06-10,2026-06-10 07:30:00,2026-06-10 07:30:00,SELL,4193.329,4196.929,4189.329,4196.929,loss,-1.0722,0.0722,260.0,-360.0,4208.001,4193.329,1.6283,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-06,2026-06-11,2026-06-11 07:30:00,2026-06-11 07:30:00,BUY,4110.279,4106.679,4114.279,4106.679,loss,-1.0722,0.0722,260.0,-360.0,4110.279,4091.788,1.624,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-06,2026-06-16,2026-06-16 07:30:00,2026-06-16 07:45:00,BUY,4329.58,4325.98,4333.58,4333.58,win,1.0389,0.0722,260.0,400.0,4329.58,4322.556,1.0493,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-06,2026-06-17,2026-06-17 07:30:00,2026-06-17 07:30:00,SELL,4326.688,4330.288,4322.688,4330.288,loss,-1.0722,0.0722,260.0,-360.0,4332.866,4326.688,0.9691,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-06,2026-06-18,2026-06-18 07:30:00,2026-06-18 07:30:00,SELL,4300.482,4304.082,4296.482,4304.082,loss,-1.0722,0.0722,260.0,-360.0,4309.443,4300.482,1.0317,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-06,2026-06-23,2026-06-23 07:30:00,2026-06-23 07:30:00,SELL,4110.234,4113.834,4106.234,4113.834,loss,-1.0722,0.0722,260.0,-360.0,4124.599,4110.234,1.2217,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-06,2026-06-24,2026-06-24 07:30:00,2026-06-24 07:30:00,SELL,4083.06,4086.66,4079.06,4079.06,win,1.0389,0.0722,260.0,400.0,4090.903,4083.06,0.7346,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-06,2026-06-25,2026-06-25 07:45:00,2026-06-25 07:45:00,SELL,3973.333,3976.933,3969.333,3976.933,loss,-1.0722,0.0722,260.0,-360.0,3989.841,3973.333,1.4683,360.0,0.01,200.0,0.01
